STATION_ID;POSTAL_CODE_ID;POINT_OF_INTEREST_ID;X_KM_COORD_NU;Y_KM_COORD_NU;N_COORD_NU;E_COORD_NU;HEIGHT_ASL_NU;METHODEN_MS_REGION_ID;METHODEN_MM_REGION_ID;METHODEN_ME_REGION_ID
-1;-1;595;732992041;151004785;1151004.312;2732992.753;2067000;235;240;243
-1;-1;596;745191709;152210433;1152209.964;2745192.504;2114000;224;229;231
-1;-1;597;691677859;223126288;1223126.130;2691678.691;1162000;221;228;231
-1;-1;598;697340099;221394932;1221394.803;2697340.855;1053000;221;228;231
-1;-1;599;706821299;220556783;1220556.617;2706822.064;1190000;221;228;231
-1;-1;600;698427629;208188866;1208188.671;2698428.310;1406000;221;228;231
-1;-1;601;708821378;206336148;1206335.948;2708822.051;1548000;221;228;231
-1;-1;602;668312833;195276790;1195276.709;2668313.494;1457000;219;228;231
-1;-1;603;677395635;176068710;1176068.422;2677396.166;2224000;219;228;231
-1;-1;604;674851015;158387803;1158387.489;2674851.349;2429000;225;229;231
-1;-1;605;694337406;168234268;1168233.877;2694337.823;2044000;223;229;231
-1;-1;606;704447283;159021275;1159020.767;2704447.614;1972000;223;229;231
-1;-1;607;755815499;251526337;1251525.959;2755815.938;1016000;222;228;231
-1;-1;608;741172449;235306863;1235306.630;2741173.057;1299000;220;228;231
-1;-1;609;744840064;229806967;1229806.744;2744840.744;1090000;220;228;231
-1;-1;610;784245175;189723828;1189723.699;2784245.979;1632000;224;229;231
-1;-1;611;818463176;169354435;1169354.442;2818464.230;2149000;236;240;243
-1;-1;612;829643540;158866467;1158866.473;2829644.655;2501000;236;240;243
-1;-1;613;791779464;180568418;1180568.310;2791780.386;2384000;238;241;243
-1;-1;614;783856075;161819820;1161819.599;2783857.028;2312000;237;241;243
-1;-1;615;761949048;180216325;1180216.044;2761949.864;1550000;223;229;231
-1;-1;616;773567601;141228642;1141228.183;2773568.653;1815000;236;240;243
-1;-1;617;775804514;149331147;1149330.759;2775805.493;2284000;237;241;243
-1;-1;618;801116986;146643437;1146643.235;2801118.276;2314000;236;240;243
-1;-1;619;799035688;143236614;1143236.384;2799036.978;2328000;236;240;243
-1;-1;620;708756871;107542540;1107541.442;2708757.089;1394000;233;239;242
-1;-1;621;645734543;122259282;1122258.883;2645734.271;2006000;234;240;243
-1;-1;622;496266518;145858192;1145858.896;2496265.875;1229000;201;209;213
-1;-1;623;508868402;156413860;1156414.498;2508867.913;1447000;201;209;213
-1;-1;624;596472317;176382462;1176382.477;2596472.225;1546000;218;228;231
-1;-1;625;600720071;175673567;1175673.571;2600719.953;1610000;218;228;231
-1;-1;626;592504694;159996771;1159996.811;2592504.435;1508000;218;228;231
-1;-1;627;589729100;151479263;1151479.380;2589728.735;1279000;218;228;231
-1;-1;628;565664602;138573154;1138573.520;2565664.173;1466000;204;211;214
-1;-1;629;574158383;138679962;1138680.298;2574157.885;1445000;204;211;214
-1;-1;630;581983375;133585937;1133586.273;2581982.873;1546000;204;211;214
-1;-1;631;575985068;130435429;1130435.824;2575984.609;1776000;204;211;214
-1;-1;632;554603333;121778275;1121778.598;2554602.744;1378000;205;212;214
-1;-1;633;566177538;100795766;1100796.088;2566176.733;1527000;208;212;214
-1;-1;634;575681388;105102216;1105102.464;2575680.590;1408000;208;212;214
-1;-1;635;578396491;106790341;1106790.542;2578395.761;1686000;208;212;214
-1;-1;636;574299944;97877352;1097877.522;2574299.070;1497000;208;212;214
-1;-1;637;579169917;79749974;1079750.170;2579168.823;2469000;208;212;214
-1;-1;638;610821661;242777510;1242777.827;2610822.086;1051000;216;227;230
-1;-1;639;607639110;235031279;1235031.624;2607639.429;1079000;216;227;230
-1;-1;640;605273819;233806593;1233806.949;2605274.134;1279000;216;227;230
-1;-1;641;569748878;226635952;1226636.616;2569749.035;1227000;201;209;213
-1;-1;642;569154148;218818083;1218818.713;2569154.236;1502000;201;209;213
-1;-1;643;566812439;219671789;1219672.499;2566812.527;1119000;201;209;213
-1;-1;644;556814556;213668464;1213668.998;2556814.338;1283000;201;209;213
-1;-1;645;549803355;203838690;1203839.080;2549803.018;1170000;201;209;213
-1;-1;646;528007443;186957957;1186958.451;2528007.249;1152000;201;209;213
-1;-1;647;525250006;182484976;1182485.614;2525249.720;1293000;201;209;213
-1;-1;648;515715725;171025786;1171026.475;2515715.357;1061000;201;209;213
-1;-1;649;517731100;167186991;1167187.613;2517730.710;1180000;201;209;213
-1;-1;650;612262368;235989709;1235990.020;2612262.751;1076000;216;227;230
-1;-1;651;569815250;137897871;1137898.216;2569814.800;1661000;204;211;214
-1;-1;652;588263599;131133643;1131133.887;2588263.096;2253000;207;212;214
-1;-1;653;584051222;107833756;1107833.809;2584050.605;2174000;208;212;214
-1;-1;654;516544178;168122932;1168123.578;2516543.786;1146000;201;209;213
-1;-1;655;556393824;123137526;1123137.899;2556393.241;1788000;205;212;214
-1;-1;656;643318546;202369763;1202369.729;2643319.076;1019000;219;228;231
-1;-1;657;692925267;221931376;1221931.214;2692926.080;1077000;221;228;231
-1;-1;658;692799858;212344760;1212344.574;2692800.547;1266000;221;228;231
-1;-1;659;708018695;191760499;1191760.180;2708019.405;1948000;221;228;231
-1;-1;660;750440368;191337929;1191337.694;2750441.119;1358000;223;229;231
-1;-1;661;650764927;167406997;1167406.772;2650765.218;1962000;218;228;231
-1;-1;662;782787439;142435252;1142434.812;2782788.512;3451000;237;241;243
-1;-1;663;831492824;158961741;1158961.748;2831493.958;3026000;236;240;243
-1;-1;664;797344356;128984172;1128983.814;2797345.895;3103000;236;240;243
-1;-1;665;796575354;136626456;1136626.122;2796576.749;3454000;236;240;243
-1;-1;666;784785446;137390765;1137390.300;2784786.570;3594000;237;241;243
-1;-1;667;791772533;138262984;1138262.569;2791773.795;3996000;237;241;243
-1;-1;668;788158368;143283324;1143282.911;2788159.541;3546000;237;241;243
-1;-1;669;778195615;151490639;1151490.252;2778196.568;3380000;237;241;243
-1;-1;670;781862936;157413367;1157413.088;2781863.883;3247000;237;241;243
-1;-1;671;791424401;187716579;1187716.477;2791425.279;2981000;224;229;231
-1;-1;672;788044841;138733236;1138732.783;2788046.008;3936000;237;241;243
-1;-1;673;789393204;139301251;1139300.804;2789394.388;3971000;237;241;243
-1;-1;674;793972442;139502409;1139502.053;2793973.700;3900000;237;241;243
-1;-1;675;789945257;139765850;1139765.410;2789946.447;4049000;237;241;243
-1;-1;676;795258343;140498581;1140498.262;2795259.609;3606000;236;240;243
-1;-1;677;809151958;140764637;1140764.594;2809153.390;3263000;236;240;243
-1;-1;678;789372605;141987494;1141987.074;2789373.783;3751000;237;241;243
-1;-1;679;805861347;145146478;1145146.228;2805862.577;3303000;236;240;243
-1;-1;680;793285855;151666931;1151666.641;2793287.005;3263000;237;241;243
-1;-1;681;792786016;153923871;1153923.603;2792787.159;3199000;237;241;243
-1;-1;682;818359197;161638218;1161638.193;2818360.319;3180000;236;240;243
-1;-1;683;783709187;163378238;1163378.023;2783710.124;3267000;237;241;243
-1;-1;684;786408600;166230026;1166229.846;2786409.500;3418000;224;229;231
-1;-1;685;803391385;167433406;1167433.335;2803392.418;3165000;238;241;243
-1;-1;686;793057567;173751383;1173751.285;2793058.436;3229000;238;241;243
-1;-1;687;826626153;177031621;1177031.722;2826627.237;3204000;238;241;243
-1;-1;688;766229451;178599203;1178599.003;2766230.241;2980000;224;229;231
-1;-1;689;817068082;180961385;1180961.388;2817069.111;3174000;238;241;243
-1;-1;690;793088623;182104215;1182104.195;2793089.526;3085000;238;241;243
-1;-1;691;775309336;183651582;1183651.351;2775310.133;2781000;224;229;231
